Bwd Pkt Len Max,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Fwd IAT Std,FIN Flag Cnt,SYN Flag Cnt,ACK Flag Cnt,Pkt Size Avg,label
1067,266.75,533.5,114089.2786,4818.685298,0,1,0,143.125,0
1067,266.75,533.5,108294.7129,5038.459388,0,1,0,143.125,0
1067,266.75,533.5,116078.6699,4761.169744,0,1,0,143.125,0
976,149.0588235,293.7942457,51518.73263,9787.134896,0,1,0,120.975,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,1
1067,266.75,533.5,114021.1113,4849.043858,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,0,0
1067,266.75,533.5,100526.7779,4582.85166,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,0,1
1067,266.75,533.5,116314.5063,4767.886464,0,1,0,143.125,0
51,17,17.5625865,85192.06939,368.5452482,0,1,0,13.0952381,0
0,0,0,0,0,1,0,1,0,1
976,149.0588235,293.7942457,49522.58144,10626.25182,0,1,0,120.975,0
1067,266.75,533.5,111478.9212,4928.538357,0,1,0,143.125,0
1067,266.75,533.5,104508.9449,5964.306162,0,1,0,143.125,0
89,35.5,40.52036525,239357.7296,1302.770509,0,1,0,160.25,1
0,0,0,0,0,1,0,1,0,1
89,30.42857143,39.3482619,200124.8829,1592.081063,0,1,0,150.8235294,1
51,17,17.5625865,82384.66147,421.5464783,0,1,0,13.0952381,0
976,149.0588235,293.7942457,47592.82026,11199.64104,0,1,0,120.975,0
0,0,0,0,0,0,0,1,0,0
50,37.70731707,12.14545986,33.76337278,3590.628885,0,0,0,34.43333333,0
51,17,17.5625865,80574.27483,400.7829005,0,1,0,13.0952381,0
0,0,0,0,0,1,0,1,0,0
1067,266.75,533.5,114683.4936,4826.680053,0,1,0,143.125,0
1067,266.75,533.5,112420.2258,4867.644297,0,1,0,143.125,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,0
1067,266.75,533.5,111729.1179,4848.819066,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,0
1067,266.75,533.5,100526.7779,4582.85166,0,1,0,143.125,0
0,0,0,0,0,0,0,1,0,0
1067,266.75,533.5,110981.8746,4935.188176,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,0
1067,266.75,533.5,111338.0008,4995.441555,0,1,0,143.125,0
0,0,0,0,0,0,0,1,0,0
51,17,17.5625865,80574.27483,400.7829005,0,1,0,13.0952381,0
0,0,0,0,0,0,0,1,0,0
1067,266.75,533.5,110981.8746,4935.188176,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,0
1067,266.75,533.5,114089.2786,4818.685298,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,0
1067,266.75,533.5,111078.7738,4911.24923,0,1,0,143.125,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,1,0,0
1067,266.75,533.5,110340.1754,5027.943615,0,1,0,143.125,0
784,129.5714286,267.4508479,1675.077838,573693.1932,0,1,0,130.037037,1
0,0,0,0,0,1,0,1,0,1
0,0,0,0,0,1,0,1,0,0
51,17,17.5625865,84798.02652,398.1840585,0,1,0,13.0952381,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,0,0
5,1.666666667,2.886751346,1.228645225,2877469.223,0,1,0,0.833333333,1
0,0,0,0,0,0,0,1,0,0
50,37.70731707,12.14545986,33.76337278,3590.628885,0,0,0,34.43333333,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,0,0
50,37.70731707,12.14545986,33.76337278,3590.628885,0,0,0,34.43333333,0
1067,266.75,533.5,111078.7738,4911.24923,0,1,0,143.125,0
1067,266.75,533.5,111338.0008,4995.441555,0,1,0,143.125,0
1067,266.75,533.5,111338.0008,4995.441555,0,1,0,143.125,0
0,0,0,0,0,0,0,1,0,0
976,149.0588235,293.7942457,49591.09635,10537.53177,0,1,0,120.975,0
1067,266.75,533.5,116078.6699,4761.169744,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,1,0,1,0,0
1067,266.75,533.5,111338.0008,4995.441555,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,0
1067,266.75,533.5,101723.5252,4447.961818,0,1,0,143.125,0
0,0,0,0,0,0,0,1,0,0
1067,266.75,533.5,101723.5252,4447.961818,0,1,0,143.125,0
1067,266.75,533.5,101723.5252,4447.961818,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,0,0
1067,266.75,533.5,109109.9676,4834.677652,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,1,0,0
51,17,17.5625865,80174.92711,420.1214771,0,1,0,13.0952381,0
976,168.9333333,308.2993598,77618.97887,7843.251122,0,1,0,127.3421053,0
1067,266.75,533.5,114809.987,4849.418213,0,1,0,143.125,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0
51,17,17.5625865,80574.27483,400.7829005,0,1,0,13.0952381,0
51,17,17.5625865,85192.06939,368.5452482,0,1,0,13.0952381,0
0,0,0,0,0,0,0,1,0,0
976,149.0588235,293.7942457,49591.09635,10537.53177,0,1,0,120.975,0
0,0,0,0,0,1,0,1,0,0
1067,266.75,533.5,112641.4166,4758.677162,0,1,0,143.125,0
784,129.5714286,267.4508479,1528.979407,585707.2563,0,1,0,121.0689655,1
0,0,0,0,0,0,0,1,0,0
1067,266.75,533.5,116314.5063,4767.886464,0,1,0,143.125,0
0,0,0,0,0,0,0,1,0,0
1067,266.75,533.5,112641.4166,4758.677162,0,1,0,143.125,0
976,149.0588235,293.7942457,47691.32213,11155.36537,0,1,0,120.975,0
1067,266.75,533.5,114683.4936,4826.680053,0,1,0,143.125,0
976,149.0588235,293.7942457,47592.82026,11199.64104,0,1,0,120.975,0
0,0,0,0,0,1,0,1,0,0
1067,266.75,533.5,114021.1113,4849.043858,0,1,0,143.125,0
1067,266.75,533.5,114374.1884,4851.108877,0,1,0,143.125,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,1
51,17,17.5625865,68974.16604,407.7050813,0,1,0,13.0952381,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,0,0
976,149.0588235,293.7942457,49591.09635,10537.53177,0,1,0,120.975,0
0,0,0,0,0,1,0,1,0,1
51,17,17.5625865,78751.43184,391.2022637,0,1,0,13.0952381,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0
51,17,17.5625865,82384.66147,421.5464783,0,1,0,13.0952381,0
784,129.5714286,267.4508479,1528.979407,585707.2563,0,1,0,121.0689655,1
50,37.70731707,12.14545986,33.76337278,3590.628885,0,0,0,34.43333333,0
1460,964.4390244,628.9307612,1150.380063,3560650.876,0,1,0,613.6849315,1
1067,266.75,533.5,116314.5063,4767.886464,0,1,0,143.125,0
1067,266.75,533.5,104508.9449,5964.306162,0,1,0,143.125,0
0,0,0,0,0,0,0,1,0,0
1067,266.75,533.5,114809.987,4849.418213,0,1,0,143.125,0
976,168.9333333,308.2993598,81116.41941,8003.805775,0,1,0,142.3235294,0
976,149.0588235,293.7942457,45779.64466,11656.30503,0,1,0,120.975,0
1067,266.75,533.5,113953.0255,5619.638867,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,0,1
51,17,17.5625865,82582.58258,408.2759007,0,1,0,13.0952381,0
976,168.9333333,308.2993598,79959.68142,8258.803867,0,1,0,142.3235294,0
5,1.666666667,2.886751346,0.709195112,4982311.857,0,1,0,0.833333333,1
0,0,0,0,0,1,0,1,0,0
51,17,17.5625865,82384.66147,421.5464783,0,1,0,13.0952381,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,1,0,0,1
51,17,17.5625865,78751.43184,391.2022637,0,1,0,13.0952381,0
0,0,0,0,0,0,1,0,0,1
1067,266.75,533.5,109109.9676,4834.677652,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,1
0,0,0,0,0,1,0,1,0,0
51,17,17.5625865,68974.16604,407.7050813,0,1,0,13.0952381,0
0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,1,0,0
1067,266.75,533.5,114374.1884,4851.108877,0,1,0,143.125,0
1067,266.75,533.5,115156.3914,4720.888052,0,1,0,143.125,0
1067,266.75,533.5,112807.8818,4897.708682,0,1,0,143.125,0
976,149.0588235,293.7942457,51518.73263,9787.134896,0,1,0,120.975,0
0,0,0,0,0,0,0,1,0,0
976,149.0588235,293.7942457,47691.32213,11155.36537,0,1,0,120.975,0
0,0,0,0,0,1,0,1,0,0
1067,266.75,533.5,114021.1113,4849.043858,0,1,0,143.125,0
51,17,17.5625865,82582.58258,408.2759007,0,1,0,13.0952381,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,0,0
51,17,17.5625865,82384.66147,421.5464783,0,1,0,13.0952381,0
0,0,0,0,0,0,0,1,0,1
89,35.5,40.52036525,207577.7202,1599.792495,0,1,0,160.25,1
1067,266.75,533.5,114089.2786,4818.685298,0,1,0,143.125,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,0
1067,266.75,533.5,112641.4166,4758.677162,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,1,0,0
976,149.0588235,293.7942457,51518.73263,9787.134896,0,1,0,120.975,0
51,17,17.5625865,80574.27483,400.7829005,0,1,0,13.0952381,0
0,0,0,0,0,1,0,1,0,1
0,0,0,0,0,1,0,1,0,0
1067,266.75,533.5,112807.8818,4897.708682,0,1,0,143.125,0
976,149.0588235,293.7942457,47691.32213,11155.36537,0,1,0,120.975,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,1
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,1,0,0
1067,266.75,533.5,111078.7738,4911.24923,0,1,0,143.125,0
976,168.9333333,308.2993598,81116.41941,8003.805775,0,1,0,142.3235294,0
1067,266.75,533.5,112641.4166,4758.677162,0,1,0,143.125,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,1,0,0
1067,266.75,533.5,108294.7129,5038.459388,0,1,0,143.125,0
1067,266.75,533.5,110981.8746,4935.188176,0,1,0,143.125,0
0,0,0,0,0,0,1,0,0,1
1067,266.75,533.5,110340.1754,5027.943615,0,1,0,143.125,0
1067,266.75,533.5,101723.5252,4447.961818,0,1,0,143.125,0
1067,266.75,533.5,103723.1633,4913.648576,0,1,0,143.125,0
1067,266.75,533.5,111338.0008,4995.441555,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,0
5,1.666666667,2.886751346,0.709195112,4982311.857,0,1,0,0.833333333,1
51,17,17.5625865,68974.16604,407.7050813,0,1,0,13.0952381,0
976,149.0588235,293.7942457,45779.64466,11656.30503,0,1,0,120.975,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0
51,17,17.5625865,80174.92711,420.1214771,0,1,0,13.0952381,0
51,17,17.5625865,79342.18119,372.246573,0,1,0,13.0952381,0
1067,266.75,533.5,113953.0255,5619.638867,0,1,0,143.125,0
0,0,0,0,0,0,1,0,0,1
1067,266.75,533.5,113737.9557,4847.525451,0,1,0,143.125,0
51,17,17.5625865,82384.66147,421.5464783,0,1,0,13.0952381,0
89,30.42857143,39.3482619,220464.3164,1400.424053,0,1,0,150.8235294,1
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,0,0
976,168.9333333,308.2993598,79959.68142,8258.803867,0,1,0,142.3235294,0
0,0,0,0,0,1,0,1,0,0
1067,266.75,533.5,112807.8818,4897.708682,0,1,0,143.125,0
0,0,0,0,0,0,1,0,0,1
1067,266.75,533.5,103723.1633,4913.648576,0,1,0,143.125,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,0
51,17,17.5625865,82384.66147,421.5464783,0,1,0,13.0952381,0
0,0,0,0,0,1,0,1,0,0
5,1.666666667,2.886751346,1.228645225,2877469.223,0,1,0,0.833333333,1
51,17,17.5625865,82384.66147,421.5464783,0,1,0,13.0952381,0
0,0,0,0,0,1,0,1,0,0
1067,266.75,533.5,111078.7738,4911.24923,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,0
976,149.0588235,293.7942457,48484.54486,10889.27862,0,1,0,120.975,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,1,0,0,1
1067,266.75,533.5,111729.1179,4848.819066,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,0
1067,266.75,533.5,111478.9212,4928.538357,0,1,0,143.125,0
1067,266.75,533.5,114089.2786,4818.685298,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,0,0
784,129.5714286,267.4508479,1348.678537,720451.0804,0,1,0,130.037037,1
1067,266.75,533.5,112641.4166,4758.677162,0,1,0,143.125,0
0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,1,0,1,0,0
976,168.9333333,308.2993598,81116.41941,8003.805775,0,1,0,142.3235294,0
51,17,17.5625865,79342.18119,372.246573,0,1,0,13.0952381,0
1067,266.75,533.5,114694.9815,4798.190214,0,1,0,143.125,0
1067,266.75,533.5,112641.4166,4758.677162,0,1,0,143.125,0
1067,266.75,533.5,115796.9256,4812.488996,0,1,0,143.125,0
1067,266.75,533.5,113953.0255,5619.638867,0,1,0,143.125,0
1067,266.75,533.5,108294.7129,5038.459388,0,1,0,143.125,0
976,149.0588235,293.7942457,47691.32213,11155.36537,0,1,0,120.975,0
976,149.0588235,293.7942457,48484.54486,10889.27862,0,1,0,120.975,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,0
1067,266.75,533.5,100526.7779,4582.85166,0,1,0,143.125,0
0,0,0,0,0,0,0,1,0,0
1067,266.75,533.5,103723.1633,4913.648576,0,1,0,143.125,0
51,17,17.5625865,80574.27483,400.7829005,0,1,0,13.0952381,0
1067,266.75,533.5,101723.5252,4447.961818,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,0,0
976,168.9333333,308.2993598,79959.68142,8258.803867,0,1,0,142.3235294,0
0,0,0,0,0,1,0,1,0,0
976,149.0588235,293.7942457,48484.54486,10889.27862,0,1,0,120.975,0
0,0,0,0,0,0,1,0,0,1
1067,266.75,533.5,110340.1754,5027.943615,0,1,0,143.125,0
0,0,0,0,0,0,0,1,0,0
89,35.5,40.52036525,218361.4376,1424.246653,0,1,0,160.25,1
1067,266.75,533.5,110340.1754,5027.943615,0,1,0,143.125,0
1067,266.75,533.5,104508.9449,5964.306162,0,1,0,143.125,0
51,17,17.5625865,79342.18119,372.246573,0,1,0,13.0952381,0
51,17,17.5625865,85192.06939,368.5452482,0,1,0,13.0952381,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0
976,168.9333333,308.2993598,79959.68142,8258.803867,0,1,0,142.3235294,0
0,0,0,0,0,0,1,0,0,1
51,17,17.5625865,80574.27483,400.7829005,0,1,0,13.0952381,0
0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,0
976,149.0588235,293.7942457,45779.64466,11656.30503,0,1,0,120.975,0
34,9.555555556,12.44097174,14371.87219,1097.506698,0,1,0,6.588235294,1
51,17,17.5625865,78751.43184,391.2022637,0,1,0,13.0952381,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,1,0,0
1067,266.75,533.5,116314.5063,4767.886464,0,1,0,143.125,0
1067,266.75,533.5,115156.3914,4720.888052,0,1,0,143.125,0
1067,266.75,533.5,111078.7738,4911.24923,0,1,0,143.125,0
976,168.9333333,308.2993598,79959.68142,8258.803867,0,1,0,142.3235294,0
1067,266.75,533.5,111729.1179,4848.819066,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,0
51,17,17.5625865,82384.66147,421.5464783,0,1,0,13.0952381,0
1067,266.75,533.5,116196.4684,4780.386909,0,1,0,143.125,0
1067,266.75,533.5,114683.4936,4826.680053,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,1,0,0
1067,266.75,533.5,112641.4166,4758.677162,0,1,0,143.125,0
1067,266.75,533.5,115796.9256,4812.488996,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,0
50,37.70731707,12.14545986,33.76337278,3590.628885,0,0,0,34.43333333,0
0,0,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,1,0,0
1067,266.75,533.5,111652.8523,5402.538508,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,0
89,35.5,40.52036525,207275.6669,1577.0902,0,1,0,160.25,1
0,0,0,0,0,1,0,1,0,0
1067,266.75,533.5,115156.3914,4720.888052,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,0
976,149.0588235,293.7942457,47691.32213,11155.36537,0,1,0,120.975,0
1067,266.75,533.5,110981.8746,4935.188176,0,1,0,143.125,0
51,17,17.5625865,78751.43184,391.2022637,0,1,0,13.0952381,0
976,149.0588235,293.7942457,48484.54486,10889.27862,0,1,0,120.975,0
174,174,0,231.8458225,113.137085,0,0,0,217.5,1
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,0,1
1067,266.75,533.5,113737.9557,4847.525451,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,0
1067,266.75,533.5,114021.1113,4849.043858,0,1,0,143.125,0
1067,266.75,533.5,111478.9212,4928.538357,0,1,0,143.125,0
976,168.9333333,308.2993598,79959.68142,8258.803867,0,1,0,142.3235294,0
1067,266.75,533.5,115890.6883,5579.224349,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,0,0
1067,266.75,533.5,112420.2258,4867.644297,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,1
51,17,17.5625865,80574.27483,400.7829005,0,1,0,13.0952381,0
976,149.0588235,293.7942457,47592.82026,11199.64104,0,1,0,120.975,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,1,0,0
89,35.5,40.52036525,218361.4376,1424.246653,0,1,0,160.25,1
51,17,17.5625865,84798.02652,398.1840585,0,1,0,13.0952381,0
1067,266.75,533.5,116078.6699,4761.169744,0,1,0,143.125,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,1
0,0,0,0,0,0,1,0,0,1
1067,266.75,533.5,112807.8818,4897.708682,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,0
89,35.5,40.52036525,207275.6669,1577.0902,0,1,0,160.25,1
0,0,0,0,0,1,0,1,0,1
89,35.5,40.52036525,61556.19043,7122.067978,0,1,0,160.25,1
976,149.0588235,293.7942457,47691.32213,11155.36537,0,1,0,120.975,0
1067,266.75,533.5,114683.4936,4826.680053,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,0
1067,266.75,533.5,115890.6883,5579.224349,0,1,0,143.125,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,0
1067,266.75,533.5,112641.4166,4758.677162,0,1,0,143.125,0
1067,266.75,533.5,111729.1179,4848.819066,0,1,0,143.125,0
1067,266.75,533.5,114374.1884,4851.108877,0,1,0,143.125,0
0,0,0,0,0,0,0,1,0,0
976,149.0588235,293.7942457,48484.54486,10889.27862,0,1,0,120.975,0
24,5.125,9.672309519,8.54131977,3058971.738,0,1,0,6.266666667,1
1067,266.75,533.5,100526.7779,4582.85166,0,1,0,143.125,0
1067,266.75,533.5,114089.2786,4818.685298,0,1,0,143.125,0
1067,266.75,533.5,112807.8818,4897.708682,0,1,0,143.125,0
1067,266.75,533.5,111478.9212,4928.538357,0,1,0,143.125,0
244,244,0,48392.19821,0,0,0,0,351.5,1
0,0,0,0,0,1,0,1,0,0
50,37.70731707,12.14545986,33.76337278,3590.628885,0,0,0,34.43333333,0
0,0,0,0,0,1,0,1,0,1
976,149.0588235,293.7942457,47592.82026,11199.64104,0,1,0,120.975,0
1067,266.75,533.5,116078.6699,4761.169744,0,1,0,143.125,0
976,168.9333333,308.2993598,79959.68142,8258.803867,0,1,0,142.3235294,0
1067,266.75,533.5,115796.9256,4812.488996,0,1,0,143.125,0
1067,266.75,533.5,111478.9212,4928.538357,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,1,0,0
1067,266.75,533.5,114809.987,4849.418213,0,1,0,143.125,0
51,17,17.5625865,78751.43184,391.2022637,0,1,0,13.0952381,0
976,168.9333333,308.2993598,77618.97887,7843.251122,0,1,0,127.3421053,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,0
1067,266.75,533.5,109109.9676,4834.677652,0,1,0,143.125,0
976,168.9333333,308.2993598,77618.97887,7843.251122,0,1,0,127.3421053,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,0
976,149.0588235,293.7942457,47592.82026,11199.64104,0,1,0,120.975,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,0
976,149.0588235,293.7942457,51518.73263,9787.134896,0,1,0,120.975,0
1067,266.75,533.5,101723.5252,4447.961818,0,1,0,143.125,0
0,0,0,0,0,0,0,1,0,0
1067,266.75,533.5,115890.6883,5579.224349,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,1,0,0
51,17,17.5625865,82582.58258,408.2759007,0,1,0,13.0952381,0
0,0,0,0,0,1,0,1,0,0
0,0,0,5.2659537,46.66904756,0,0,1,4.571428571,1
784,129.5714286,267.4508479,1911.445262,499388.9819,0,1,0,130.037037,1
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,1,0,0
1067,266.75,533.5,111078.7738,4911.24923,0,1,0,143.125,0
1067,266.75,533.5,111338.0008,4995.441555,0,1,0,143.125,0
0,0,0,0,0,0,0,1,0,0
784,129.5714286,267.4508479,1528.979407,585707.2563,0,1,0,121.0689655,1
0,0,0,0,0,1,0,1,0,0
1067,266.75,533.5,114089.2786,4818.685298,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,0
1067,266.75,533.5,101723.5252,4447.961818,0,1,0,143.125,0
1067,266.75,533.5,101723.5252,4447.961818,0,1,0,143.125,0
0,0,0,0,0,1,0,1,0,0
51,17,17.5625865,85192.06939,368.5452482,0,1,0,13.0952381,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,0,0
51,17,17.5625865,78864.35331,390.4783391,0,1,0,13.0952381,0
976,149.0588235,293.7942457,45779.64466,11656.30503,0,1,0,120.975,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,1,0,0
